what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900217613
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900219393
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900219393
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900220427
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900221044
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1321900224585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900240005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900250126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900259298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900270226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900270248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900271512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900280381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900282268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900282271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900285382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900286452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900286456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900288750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900293864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900296274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900296479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900297769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900298821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900300170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900301140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900301162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900302193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900304227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900305232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900305256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900306179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900307118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900307207
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900316706
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900316759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900323402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900323553
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321900327465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900329679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900330522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900335036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321900337800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321900340763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900344069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900344098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900344120
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321900347712
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900350070
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900352742
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900352789
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900355692
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900355692
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900356142
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1321900358501
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900359827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321900364986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321900366499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900369990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900370012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900370039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900458242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900472265
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900472275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900473816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900477209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900481872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900527186
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900527240
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900527285
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900596090
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900596349
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900596378
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900599975
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900601345
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900602382
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900603192
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900603905
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900604993
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900606665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900699959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900699988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900699999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900700021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900700044
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321900716914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900719002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900720831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900720886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900730821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900747774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900747797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900747811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900747833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900747856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900759042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321900791246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321900821849
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900843339
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900848636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900920583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900920614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900920627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900920651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900920672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900975451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901004947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901006529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901011551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901015655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901045864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901054327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901460635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901463704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901492708
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321901492724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901493357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901494083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901494687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901666375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901671640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901698714
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901698730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901747561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901747596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321901747617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901752232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901756933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901764498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321901986029
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901986088
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901986126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902046307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902122921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321902157454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321902295838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321902308470
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321902340072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902341340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902342151
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902470035
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902471304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902536696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902561804
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902596901
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902599005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902651491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902654462
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902681806
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902684935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902694364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902695402
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902695462
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902695462
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902696522
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902696522
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902697207
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902697207
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321902698180
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902698180
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902699358
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902699373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902710566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902715898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902718080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902721156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902723512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902731074
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902731126
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902731180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902766089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902821430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902822260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902825673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321902826885
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902828388
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902829610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321902833639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321902834721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321902836343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321902848814
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321902861154
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321902868538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902869334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902871010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902937224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902937255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902937269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321902937292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321902937316
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902938512
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902943546
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321902973609
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902974911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321902997611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321903002031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321903002063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321903002077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321903002101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321903002127
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321903004935
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321903006482
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321903013333
